CustomPackageId,PackageName,PackageVersion
0,BootstrapBlazor,8.9.0
1,Lucene.Net,3.0.3
2,Microsoft.AspNetCore.Authorization,8.0.8
3,Microsoft.AspNetCore.Components,8.0.8
4,Microsoft.AspNetCore.Components.Analyzers,8.0.8
5,Microsoft.AspNetCore.Components.Authorization,8.0.0
6,Microsoft.AspNetCore.Components.Forms,8.0.8
7,Microsoft.AspNetCore.Components.Web,8.0.8
8,Microsoft.AspNetCore.Components.WebAssembly,8.0.8
9,Microsoft.AspNetCore.Components.WebAssembly.DevServer,8.0.8
10,Microsoft.AspNetCore.Metadata,8.0.8
11,Microsoft.CSharp,4.3.0
12,Microsoft.Extensions.Caching.Abstractions,8.0.0
13,Microsoft.Extensions.Caching.Memory,8.0.0
14,Microsoft.Extensions.Configuration,8.0.0
15,Microsoft.Extensions.Configuration.Abstractions,8.0.0
16,Microsoft.Extensions.Configuration.Binder,8.0.2
17,Microsoft.Extensions.Configuration.FileExtensions,8.0.0
18,Microsoft.Extensions.Configuration.Json,8.0.0
19,Microsoft.Extensions.DependencyInjection,8.0.0
20,Microsoft.Extensions.DependencyInjection.Abstractions,8.0.1
21,Microsoft.Extensions.Diagnostics,8.0.0
22,Microsoft.Extensions.Diagnostics.Abstractions,8.0.0
23,Microsoft.Extensions.FileProviders.Abstractions,8.0.0
24,Microsoft.Extensions.FileProviders.Physical,8.0.0
25,Microsoft.Extensions.FileSystemGlobbing,8.0.0
26,Microsoft.Extensions.Http,8.0.0
27,Microsoft.Extensions.Localization,8.0.0
28,Microsoft.Extensions.Localization.Abstractions,8.0.0
29,Microsoft.Extensions.Logging,8.0.0
30,Microsoft.Extensions.Logging.Abstractions,8.0.1
31,Microsoft.Extensions.Options,8.0.2
32,Microsoft.Extensions.Options.ConfigurationExtensions,8.0.0
33,Microsoft.Extensions.Primitives,8.0.0
34,Microsoft.JSInterop,8.0.8
35,Microsoft.JSInterop.WebAssembly,8.0.8
36,Microsoft.NET.ILLink.Tasks,8.0.11
37,Microsoft.NET.Sdk.WebAssembly.Pack,9.0.0
38,Microsoft.NETCore.Platforms,1.1.1
39,Microsoft.NETCore.Targets,1.1.0
40,Microsoft.VisualStudio.ComponentModelHost,17.10.191
41,Microsoft.VisualStudio.Imaging.Interop.14.0.DesignTime,17.10.39546
42,Microsoft.VisualStudio.Interop,17.10.40170
43,Microsoft.VisualStudio.TemplateWizardInterface,17.10.40170
44,Microsoft.VisualStudio.Validation,17.8.8
45,Microsoft.Web.Xdt,3.0.0
46,Newtonsoft.Json,13.0.3
47,NuGet.Commands,6.12.1
48,NuGet.Common,6.12.1
49,NuGet.Configuration,6.12.1
50,NuGet.Credentials,6.12.1
51,NuGet.DependencyResolver.Core,6.12.1
52,NuGet.Frameworks,6.12.1
53,NuGet.Indexing,6.12.1
54,NuGet.LibraryModel,6.12.1
55,NuGet.PackageManagement,6.12.1
56,NuGet.Packaging,6.12.1
57,NuGet.ProjectModel,6.12.1
58,NuGet.Protocol,6.12.1
59,NuGet.Resolver,6.12.1
60,NuGet.Versioning,6.12.1
61,NuGet.VisualStudio,17.12.1
62,runtime.any.System.Collections,4.3.0
63,runtime.any.System.Diagnostics.Tracing,4.3.0
64,runtime.any.System.Globalization,4.3.0
65,runtime.any.System.Globalization.Calendars,4.3.0
66,runtime.any.System.IO,4.3.0
67,runtime.any.System.Reflection,4.3.0
68,runtime.any.System.Reflection.Extensions,4.3.0
69,runtime.any.System.Reflection.Primitives,4.3.0
70,runtime.any.System.Resources.ResourceManager,4.3.0
71,runtime.any.System.Runtime,4.3.0
72,runtime.any.System.Runtime.Handles,4.3.0
73,runtime.any.System.Runtime.InteropServices,4.3.0
74,runtime.any.System.Text.Encoding,4.3.0
75,runtime.any.System.Threading.Tasks,4.3.0
76,runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
77,runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
78,runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
79,runtime.native.System,4.3.0
80,runtime.native.System.Net.Http,4.3.0
81,runtime.native.System.Security.Cryptography.Apple,4.3.0
82,runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
83,runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
84,runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
85,runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.Apple,4.3.0
86,runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
87,runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
88,runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
89,runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
90,runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.2
91,SharpZipLib,0.86.0
92,SvgPathProperties,1.1.2
93,System.Collections,4.3.0
94,System.Collections.Concurrent,4.3.0
95,System.ComponentModel.Composition,8.0.0
96,System.Diagnostics.Debug,4.3.0
97,System.Diagnostics.DiagnosticSource,8.0.0
98,System.Diagnostics.Tracing,4.3.0
99,System.Dynamic.Runtime,4.3.0
100,System.Formats.Asn1,8.0.1
101,System.Globalization,4.3.0
102,System.Globalization.Calendars,4.3.0
103,System.Globalization.Extensions,4.3.0
104,System.IO,4.3.0
105,System.IO.FileSystem,4.3.0
106,System.IO.FileSystem.Primitives,4.3.0
107,System.IO.Pipelines,8.0.0
108,System.Linq,4.3.0
109,System.Linq.Expressions,4.3.0
110,System.Net.Http,4.3.4
111,System.Net.Http.Json,8.0.0
112,System.Net.Primitives,4.3.0
113,System.ObjectModel,4.3.0
114,System.Private.Uri,4.3.0
115,System.Reflection,4.3.0
116,System.Reflection.Emit,4.3.0
117,System.Reflection.Emit.ILGeneration,4.3.0
118,System.Reflection.Emit.Lightweight,4.3.0
119,System.Reflection.Extensions,4.3.0
120,System.Reflection.Primitives,4.3.0
121,System.Reflection.TypeExtensions,4.3.0
122,System.Resources.ResourceManager,4.3.0
123,System.Runtime,4.3.0
124,System.Runtime.Extensions,4.3.0
125,System.Runtime.Handles,4.3.0
126,System.Runtime.InteropServices,4.3.0
127,System.Runtime.Numerics,4.3.0
128,System.Security.Cryptography.Algorithms,4.3.0
129,System.Security.Cryptography.Cng,4.3.0
130,System.Security.Cryptography.Csp,4.3.0
131,System.Security.Cryptography.Encoding,4.3.0
132,System.Security.Cryptography.OpenSsl,4.3.0
133,System.Security.Cryptography.Pkcs,6.0.4
134,System.Security.Cryptography.Primitives,4.3.0
135,System.Security.Cryptography.ProtectedData,4.4.0
136,System.Security.Cryptography.X509Certificates,4.3.0
137,System.Text.Encoding,4.3.0
138,System.Text.Encodings.Web,8.0.0
139,System.Text.Json,8.0.4
140,System.Threading,4.3.0
141,System.Threading.Tasks,4.3.0
142,Z.Blazor.Diagrams,3.0.2
143,Z.Blazor.Diagrams.Core,3.0.2
